# kapture format: 1.1
# sensor_id, name, sensor_type, [sensor_params]+
cam_02733, , camera, SIMPLE_RADIAL, 1200, 1600, 1833.43, 600, 800, -0.175888
cam_02827, , camera, SIMPLE_RADIAL, 1200, 1600, 1820.98, 600, 800, -0.178771
cam_02732, , camera, SIMPLE_RADIAL, 1200, 1600, 1847.38, 600, 800, -0.184631
cam_02826, , camera, SIMPLE_RADIAL, 1200, 1600, 1812.36, 600, 800, -0.195458
cam_02731, , camera, SIMPLE_RADIAL, 1200, 1600, 1831.78, 600, 800, -0.190367
cam_02825, , camera, SIMPLE_RADIAL, 1200, 1600, 1811.58, 600, 800, -0.192779
cam_02822, , camera, SIMPLE_RADIAL, 1200, 1600, 1778.38, 600, 800, -0.168684
cam_02727, , camera, SIMPLE_RADIAL, 1200, 1600, 1820.38, 600, 800, -0.178054
cam_02916, , camera, SIMPLE_RADIAL, 1600, 1200, 1822.02, 800, 600, -0.16475
cam_02726, , camera, SIMPLE_RADIAL, 1200, 1600, 1831.09, 600, 800, -0.182976
cam_02821, , camera, SIMPLE_RADIAL, 1200, 1600, 1832.49, 600, 800, -0.172479
cam_02888, , camera, SIMPLE_RADIAL, 1600, 1200, 1865.22, 800, 600, -0.172518
cam_04629, , camera, SIMPLE_RADIAL, 1024, 768, 970.951, 512, 384, -0.0214749
cam_00890, , camera, SIMPLE_RADIAL, 1063, 1600, 1227.79, 531.5, 800, -0.0910881
cam_02819, , camera, SIMPLE_RADIAL, 1200, 1600, 1828.35, 600, 800, -0.167873
cam_02724, , camera, SIMPLE_RADIAL, 1067, 1600, 2873.72, 533.5, 800, -0.0778031
cam_04721, , camera, SIMPLE_RADIAL, 1024, 768, 969.978, 512, 384, 0.0698722
cam_02723, , camera, SIMPLE_RADIAL, 1200, 1600, 1805.52, 600, 800, -0.179493
cam_02818, , camera, SIMPLE_RADIAL, 1200, 1600, 1826.41, 600, 800, -0.176229
cam_00913, , camera, SIMPLE_RADIAL, 1067, 1600, 2652.81, 533.5, 800, -0.00670683
cam_04652, , camera, SIMPLE_RADIAL, 1024, 768, 972.169, 512, 384, 0.0789492
cam_04909, , camera, SIMPLE_RADIAL, 1600, 1200, 1489.49, 800, 600, -0.0616384
cam_02911, , camera, SIMPLE_RADIAL, 1200, 1600, 1814.43, 600, 800, -0.148015
cam_04719, , camera, SIMPLE_RADIAL, 768, 1024, 988.488, 384, 512, 0.0239468
cam_02721, , camera, SIMPLE_RADIAL, 1200, 1600, 1805.12, 600, 800, -0.185596
cam_02816, , camera, SIMPLE_RADIAL, 1600, 1200, 1835.04, 800, 600, -0.184326
cam_02910, , camera, SIMPLE_RADIAL, 1200, 1600, 1824.42, 600, 800, -0.164106
cam_04718, , camera, SIMPLE_RADIAL, 1024, 768, 995.354, 512, 384, 0.126004
cam_02720, , camera, SIMPLE_RADIAL, 1200, 1600, 1807.78, 600, 800, -0.176344
cam_00817, , camera, SIMPLE_RADIAL, 1200, 1600, 1560.5, 600, 800, -0.0952284
cam_04556, , camera, SIMPLE_RADIAL, 1024, 768, 971.817, 512, 384, 0.0631876
cam_02815, , camera, SIMPLE_RADIAL, 1600, 1200, 1821.75, 800, 600, -0.17215
cam_04717, , camera, SIMPLE_RADIAL, 1024, 768, 952.946, 512, 384, 0.0658341
cam_02719, , camera, SIMPLE_RADIAL, 1200, 1600, 1819.92, 600, 800, -0.18954
cam_02811, , camera, SIMPLE_RADIAL, 1600, 1200, 1883.48, 800, 600, -0.177327
cam_02893, , camera, SIMPLE_RADIAL, 1600, 1200, 1817.82, 800, 600, -0.185516
cam_02892, , camera, SIMPLE_RADIAL, 1600, 1200, 1826.72, 800, 600, -0.182155
cam_04889, , camera, SIMPLE_RADIAL, 1600, 1200, 1456.84, 800, 600, -0.0164397
cam_02890, , camera, SIMPLE_RADIAL, 1600, 1063, 1253.2, 800, 531.5, -0.0979805
cam_02889, , camera, SIMPLE_RADIAL, 1600, 1200, 1832.91, 800, 600, -0.18745
cam_04887, , camera, SIMPLE_RADIAL, 1600, 1200, 1456.46, 800, 600, -0.0176349
cam_02887, , camera, SIMPLE_RADIAL, 1600, 1200, 1817.58, 800, 600, -0.166154
cam_02886, , camera, SIMPLE_RADIAL, 1600, 1200, 1829.17, 800, 600, -0.177806
cam_02884, , camera, SIMPLE_RADIAL, 1600, 1200, 1831.51, 800, 600, -0.183804
cam_02882, , camera, SIMPLE_RADIAL, 1600, 1200, 1819.39, 800, 600, -0.179683
cam_02880, , camera, SIMPLE_RADIAL, 1600, 1200, 1816.23, 800, 600, -0.18737
cam_04620, , camera, SIMPLE_RADIAL, 768, 1024, 961.413, 384, 512, 0.087748
cam_02878, , camera, SIMPLE_RADIAL, 1600, 1200, 1813.91, 800, 600, -0.173124
cam_01137, , camera, SIMPLE_RADIAL, 1200, 1600, 1557.79, 600, 800, -0.0785459
cam_04876, , camera, SIMPLE_RADIAL, 1600, 1200, 1455.46, 800, 600, -0.0478057
