# kapture format: 1.1
# timestamp, device_id, qw, qx, qy, qz, tx, ty, tz
       1, cam_00001, 0.137846, 0.989994, -0.0272063, -0.0130704, -728.038, -14.524, -180.068
       2, cam_00002, 0.142167, 0.621204, 0.151261, 0.755655, 345.998, -292.694, -634.864
       3, cam_00003, 0.174089, 0.918558, 0.0837427, 0.344865, -446.758, -260.267, -596.003
       4, cam_00004, 0.00271061, 0.095578, 0.228649, 0.968802, 741.594, -35.6891, -119.084
       5, cam_00005, -0.0168772, 0.00519649, 0.218723, 0.975627, 751.472, 23.8066, 6.40723
       6, cam_00006, -0.0271691, -0.121009, 0.202065, 0.971488, 724.075, 76.3517, 187.55
       7, cam_00007, -0.0638398, -0.337251, 0.169603, 0.923808, 562.853, 172.318, 467.652
       8, cam_00008, -0.080464, -0.50245, 0.148922, 0.847875, 346.338, 210.889, 633.013
       9, cam_00009, 0.0462833, 0.139652, 0.188778, 0.970937, 723.744, -105.904, -167.722
      10, cam_00010, 0.0152609, 0.0369731, 0.192241, 0.980532, 749.231, -31.5626, -26.6542
      11, cam_00011, -0.0143704, -0.0851605, 0.176812, 0.980448, 734.927, 44.484, 144.533
      12, cam_00012, -0.0213292, -0.185087, 0.174068, 0.966948, 689.55, 79.6755, 284.767
      13, cam_00013, -0.0365526, -0.28194, 0.169658, 0.943605, 616.326, 123.233, 409.647
      14, cam_00014, 0.153798, 0.831097, 0.0990322, 0.525182, -156.541, -279.173, -721.382
      15, cam_00015, -0.0524583, -0.377586, 0.170155, 0.908694, 515.942, 166.99, 518.394
      16, cam_00016, -0.0657546, -0.464592, 0.160008, 0.868463, 400.866, 195.072, 603.349
      17, cam_00017, -0.0909182, -0.573775, 0.142913, 0.801306, 222.392, 228.098, 679.167
      18, cam_00018, 0.0166707, 0.146582, 0.176209, 0.973235, 721.988, -60.5513, -183.2
      19, cam_00019, -0.00940785, 0.032109, 0.165989, 0.98556, 746.92, 7.82912, -23.0137
