# kapture format: 1.1
# sensor_id, name, sensor_type, [sensor_params]+
sensor0, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor1, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor2, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor3, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor4, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor5, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor6, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor7, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor8, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor9, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor10, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor11, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor12, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor13, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor14, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor15, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor16, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor17, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor18, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor19, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor20, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor21, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor22, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor23, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor24, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor25, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor26, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor27, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor28, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor29, , camera, SIMPLE_RADIAL, 1200, 1600, 1458.14, 600, 800, -0.0302454
sensor30, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor31, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor32, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor33, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor34, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor35, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor36, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor37, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor38, , camera, SIMPLE_RADIAL, 768, 1024, 971.838, 384, 512, -0.00177789
sensor39, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
sensor40, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor41, , camera, SIMPLE_RADIAL, 1600, 1200, 1469.2, 800, 600, -0.0353019
sensor42, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
